brand,mileage_band,age_band,price
daihatsu,150k+,40+,
fiat,0-50k,0-5,9576.0
fiat,0-50k,6-10,5388.0
fiat,0-50k,11-15,1902.0
fiat,0-50k,16-20,1454.0
fiat,0-50k,21-40,4274.0
fiat,0-50k,40+,7338.0
fiat,50k-100k,0-5,8158.0
fiat,50k-100k,6-10,4755.0
fiat,50k-100k,11-15,1927.0
fiat,50k-100k,16-20,1253.0
fiat,50k-100k,21-40,2890.0
fiat,50k-100k,40+,9201.0
fiat,100k-150k,0-5,6902.0
fiat,100k-150k,6-10,4132.0
fiat,100k-150k,11-15,1550.0
fiat,100k-150k,16-20,1063.0
fiat,100k-150k,21-40,2464.0
fiat,100k-150k,40+,2699.0
fiat,150k+,0-5,5554.0
fiat,150k+,6-10,3565.0
fiat,150k+,11-15,1384.0
fiat,150k+,16-20,846.0
fiat,150k+,21-40,1555.0
fiat,150k+,40+,5543.0
ford,0-50k,0-5,14769.0
ford,0-50k,6-10,7719.0
ford,0-50k,11-15,2440.0
ford,0-50k,16-20,801.0
ford,0-50k,21-40,3417.0
ford,0-50k,40+,18517.0
ford,50k-100k,0-5,12658.0
ford,50k-100k,6-10,6907.0
ford,50k-100k,11-15,2658.0
ford,50k-100k,16-20,891.0
ford,50k-100k,21-40,2635.0
ford,50k-100k,40+,16824.0
ford,100k-150k,0-5,11518.0
ford,100k-150k,6-10,6455.0
ford,100k-150k,11-15,2146.0
ford,100k-150k,16-20,927.0
ford,100k-150k,21-40,1530.0
ford,100k-150k,40+,14196.0
ford,150k+,0-5,9557.0
ford,150k+,6-10,5107.0
ford,150k+,11-15,1928.0
ford,150k+,16-20,873.0
ford,150k+,21-40,1322.0
ford,150k+,40+,14341.0
honda,0-50k,0-5,12796.0
honda,0-50k,6-10,8359.0
honda,0-50k,11-15,6565.0
honda,0-50k,16-20,3041.0
honda,0-50k,21-40,2027.0
honda,0-50k,40+,5217.0
honda,50k-100k,0-5,11514.0
honda,50k-100k,6-10,8159.0
honda,50k-100k,11-15,5365.0
honda,50k-100k,16-20,2458.0
honda,50k-100k,21-40,2148.0
honda,50k-100k,40+,19000.0
honda,100k-150k,0-5,15314.0
honda,100k-150k,6-10,7545.0
honda,100k-150k,11-15,3920.0
honda,100k-150k,16-20,1566.0
honda,100k-150k,21-40,3333.0
honda,100k-150k,40+,
honda,150k+,0-5,14500.0
honda,150k+,6-10,6731.0
honda,150k+,11-15,3118.0
honda,150k+,16-20,1365.0
honda,150k+,21-40,1755.0
honda,150k+,40+,
hyundai,0-50k,0-5,11922.0
hyundai,0-50k,6-10,5922.0
hyundai,0-50k,11-15,2676.0
hyundai,0-50k,16-20,510.0
hyundai,0-50k,21-40,
hyundai,0-50k,40+,
hyundai,50k-100k,0-5,11181.0
hyundai,50k-100k,6-10,5650.0
hyundai,50k-100k,11-15,2886.0
hyundai,50k-100k,16-20,1505.0
hyundai,50k-100k,21-40,799.0
hyundai,50k-100k,40+,
hyundai,100k-150k,0-5,11019.0
hyundai,100k-150k,6-10,5448.0
hyundai,100k-150k,11-15,2217.0
hyundai,100k-150k,16-20,971.0
hyundai,100k-150k,21-40,469.0
hyundai,100k-150k,40+,
hyundai,150k+,0-5,8634.0
hyundai,150k+,6-10,4903.0
hyundai,150k+,11-15,2137.0
hyundai,150k+,16-20,936.0
hyundai,150k+,21-40,470.0
hyundai,150k+,40+,
jaguar,0-50k,0-5,49491.0
jaguar,0-50k,6-10,19133.0
jaguar,0-50k,11-15,6700.0
jaguar,0-50k,16-20,19900.0
jaguar,0-50k,21-40,12707.0
jaguar,0-50k,40+,43190.0
jaguar,50k-100k,0-5,26215.0
jaguar,50k-100k,6-10,20479.0
jaguar,50k-100k,11-15,12116.0
jaguar,50k-100k,16-20,15384.0
jaguar,50k-100k,21-40,12964.0
jaguar,50k-100k,40+,28505.0
jaguar,100k-150k,0-5,25433.0
jaguar,100k-150k,6-10,20394.0
jaguar,100k-150k,11-15,5984.0
jaguar,100k-150k,16-20,7224.0
jaguar,100k-150k,21-40,13445.0
jaguar,100k-150k,40+,26438.0
jaguar,150k+,0-5,21640.0
jaguar,150k+,6-10,11053.0
